s,C,C,C
 3.4801569E+002, 2.0162961E+001, 8.4444403E+001, 1.2615576E+002
 3.4901746E+002, 2.0178261E+001, 9.7951380E+001, 1.2338552E+002
 3.5000915E+002, 2.0176816E+001, 8.5282868E+001, 1.2453237E+002
 3.5101758E+002, 2.0166905E+001, 8.0946692E+001, 1.2726864E+002
 3.5200870E+002, 2.0164147E+001, 8.2174721E+001, 1.2393605E+002
 3.5300054E+002, 2.0152971E+001, 9.1622534E+001, 1.2399351E+002
 3.5400196E+002, 2.0152601E+001, 6.1240344E+001, 1.2374424E+002
 3.5501644E+002, 2.0159012E+001, 6.0533032E+001, 1.2725217E+002
 3.5602028E+002, 2.0165473E+001, 7.9842817E+001, 1.2792058E+002
 3.5700942E+002, 2.0165018E+001, 7.0445667E+001, 1.2648857E+002
 3.5800799E+002, 2.0152262E+001, 8.0199919E+001, 1.2491168E+002
 3.5901101E+002, 2.0148316E+001, 9.1193703E+001, 1.2509747E+002
 3.6000379E+002, 2.0160942E+001, 9.6291231E+001, 1.2715616E+002
 3.6101914E+002, 2.0159141E+001, 8.8041677E+001, 1.2558337E+002
 3.6200135E+002, 2.0162585E+001, 8.4466571E+001, 1.2523334E+002
 3.6300194E+002, 2.0161384E+001, 4.5434884E+001, 1.2600714E+002
 3.6400538E+002, 2.0161273E+001, 8.4761517E+001, 1.2595013E+002
 3.6501447E+002, 2.0162976E+001, 9.9403793E+001, 1.2559572E+002
 3.6600837E+002, 2.0172962E+001, 8.1095963E+001, 1.2433995E+002
 3.6701091E+002, 2.0171666E+001, 7.4386166E+001, 1.2669609E+002
 3.6800564E+002, 2.0172300E+001, 1.0191139E+002, 1.2460672E+002
 3.6901448E+002, 2.0166224E+001, 9.2356470E+001, 1.2472661E+002
 3.7001905E+002, 2.0166755E+001, 7.8783013E+001, 1.2767906E+002
 3.7100527E+002, 2.0169503E+001, 1.0200947E+002, 1.2731785E+002
 3.7202081E+002, 2.0174560E+001, 4.9382177E+001, 1.2644021E+002
 3.7301860E+002, 2.0168922E+001, 8.3049959E+001, 1.2513512E+002
 3.7401918E+002, 2.0167415E+001, 8.6551340E+001, 1.2422510E+002
 3.7500964E+002, 2.0164901E+001, 9.2095268E+001, 1.2515856E+002
 3.7600554E+002, 2.0164078E+001, 9.7892654E+001, 1.2324881E+002
 3.7701495E+002, 2.0173166E+001, 9.6399039E+001, 1.2346343E+002
 3.7801411E+002, 2.0176067E+001, 9.3590724E+001, 1.2292328E+002
 3.7900915E+002, 2.0171457E+001, 9.3535611E+001, 1.2310709E+002
 3.8000419E+002, 2.0171871E+001, 1.0004294E+002, 1.2522107E+002
 3.8101089E+002, 2.0165476E+001, 8.6741151E+001, 1.2538907E+002
 3.8200610E+002, 2.0161300E+001, 9.5231685E+001, 1.2543623E+002
 3.8300725E+002, 2.0162274E+001, 9.4059331E+001, 1.2715795E+002
 3.8400771E+002, 2.0164614E+001, 8.3890602E+001, 1.2387613E+002
 3.8500817E+002, 2.0164870E+001, 8.1385748E+001, 1.2526103E+002
 3.8600863E+002, 2.0168402E+001, 8.3345173E+001, 1.2528560E+002
 3.8701603E+002, 2.0161155E+001, 9.4368959E+001, 1.2615147E+002
 3.8802400E+002, 2.0155950E+001, 9.8504447E+001, 1.2405798E+002
 3.8900231E+002, 2.0161546E+001, 9.4199257E+001, 1.2392440E+002
 3.9002140E+002, 2.0156650E+001, 9.5116058E+001, 1.2777876E+002
 3.9100385E+002, 2.0158680E+001, 5.6478308E+001, 1.2429295E+002
 3.9200914E+002, 2.0163263E+001, 9.4396915E+001, 1.2353568E+002
 3.9300037E+002, 2.0158338E+001, 1.0495095E+002, 1.2380990E+002
 3.9401728E+002, 2.0165517E+001, 8.6854391E+001, 1.2851852E+002
 3.9501798E+002, 2.0168920E+001, 8.2155750E+001, 1.2825991E+002
 3.9601884E+002, 2.0164459E+001, 7.2144391E+001, 1.2875551E+002
 3.9700123E+002, 2.0159301E+001, 8.0799183E+001, 1.2635777E+002
 3.9800477E+002, 2.0163568E+001, 1.0294849E+002, 1.2571691E+002
 3.9901461E+002, 2.0169653E+001, 8.4851405E+001, 1.2649843E+002
 4.0001569E+002, 2.0174269E+001, 5.9382343E+001, 1.2572229E+002
 4.0101889E+002, 2.0177451E+001, 9.2945033E+001, 1.2735200E+002
 4.0202004E+002, 2.0167872E+001, 9.4078020E+001, 1.2703879E+002
 4.0301925E+002, 2.0171461E+001, 9.9449331E+001, 1.2507048E+002
 4.0400669E+002, 2.0169519E+001, 7.3308363E+001, 1.2577697E+002
 4.0501367E+002, 2.0178277E+001, 6.0897108E+001, 1.2682257E+002
 4.0601327E+002, 2.0178171E+001, 8.9211999E+001, 1.2758130E+002
 4.0700854E+002, 2.0179270E+001, 7.4517696E+001, 1.2837469E+002
 4.0800353E+002, 2.0175383E+001, 7.6843667E+001, 1.2690072E+002
 4.0901049E+002, 2.0175026E+001, 9.5833345E+001, 1.2432745E+002
 4.1000739E+002, 2.0166100E+001, 7.4051151E+001, 1.2576756E+002
 4.1100336E+002, 2.0180113E+001, 7.5938917E+001, 1.2989171E+002
 4.1200024E+002, 2.0187186E+001, 9.1447790E+001, 1.2933270E+002
 4.1301656E+002, 2.0198891E+001, 9.5548492E+001, 1.3215506E+002
 4.1400117E+002, 2.0192565E+001, 9.6468857E+001, 1.2793094E+002
 4.1501655E+002, 2.0189101E+001, 9.0260376E+001, 1.2813109E+002
 4.1600520E+002, 2.0187450E+001, 7.1393643E+001, 1.2740293E+002
 4.1701930E+002, 2.0192495E+001, 8.7800558E+001, 1.2645220E+002
 4.1801076E+002, 2.0182290E+001, 9.5011385E+001, 1.2536954E+002
 4.1901573E+002, 2.0172581E+001, 5.9283887E+001, 1.2680477E+002
 4.2001287E+002, 2.0184298E+001, 9.8259309E+001, 1.2584188E+002
 4.2101091E+002, 2.0177003E+001, 1.0116212E+002, 1.2728072E+002
 4.2202210E+002, 2.0175192E+001, 8.1671638E+001, 1.2797609E+002
 4.2301399E+002, 2.0182372E+001, 6.7711032E+001, 1.2491810E+002
 4.2401448E+002, 2.0193055E+001, 7.8856497E+001, 1.2801440E+002
 4.2501869E+002, 2.0189975E+001, 8.6944788E+001, 1.2585119E+002
 4.2600644E+002, 2.0177531E+001, 7.6420376E+001, 1.2583073E+002
 4.2701655E+002, 2.0185716E+001, 6.8618035E+001, 1.2775444E+002
 4.2801223E+002, 2.0172260E+001, 8.8260830E+001, 1.2500086E+002
 4.2901368E+002, 2.0169739E+001, 7.1362871E+001, 1.2449033E+002
 4.3000385E+002, 2.0181610E+001, 8.6775142E+001, 1.2621450E+002
 4.3102069E+002, 2.0181642E+001, 6.3017021E+001, 1.2861373E+002
 4.3201681E+002, 2.0183836E+001, 6.8757434E+001, 1.2975612E+002
 4.3300487E+002, 2.0190032E+001, 7.9540408E+001, 1.2894048E+002
 4.3401496E+002, 2.0193093E+001, 8.6637952E+001, 1.2577954E+002
 4.3501142E+002, 2.0188415E+001, 7.6279532E+001, 1.2691977E+002
 4.3601438E+002, 2.0180001E+001, 9.2819796E+001, 1.2865012E+002
 4.3701733E+002, 2.0166070E+001, 8.4282391E+001, 1.2632082E+002
 4.3801902E+002, 2.0174402E+001, 8.2788829E+001, 1.2514220E+002
 4.3902040E+002, 2.0168201E+001, 9.1586906E+001, 1.2875679E+002
 4.4000979E+002, 2.0174445E+001, 7.0555964E+001, 1.2570454E+002
 4.4101794E+002, 2.0182768E+001, 9.2335316E+001, 1.2889659E+002
 4.4200298E+002, 2.0173153E+001, 9.0272490E+001, 1.2792154E+002
 4.4302132E+002, 2.0162274E+001, 1.0147701E+002, 1.2726534E+002
 4.4401593E+002, 2.0167060E+001, 1.0503354E+002, 1.2868011E+002
 4.4500164E+002, 2.0173481E+001, 8.7370454E+001, 1.2757499E+002
 4.4600071E+002, 2.0178820E+001, 6.4047223E+001, 1.2733654E+002
 4.4700180E+002, 2.0179353E+001, 9.7003755E+001, 1.2644831E+002
 4.4802344E+002, 2.0180835E+001, 8.0411471E+001, 1.2551105E+002
 4.4900543E+002, 2.0177073E+001, 9.8554656E+001, 1.2563259E+002
 4.5000322E+002, 2.0174817E+001, 9.7043150E+001, 1.2632775E+002
 4.5100506E+002, 2.0185141E+001, 8.6682741E+001, 1.2543610E+002
 4.5201313E+002, 2.0187915E+001, 1.0491956E+002, 1.2628413E+002
 4.5301255E+002, 2.0192062E+001, 6.6877089E+001, 1.2672958E+002
 4.5401295E+002, 2.0183193E+001, 6.1208494E+001, 1.2473063E+002
 4.5500561E+002, 2.0179424E+001, 8.3457414E+001, 1.2462419E+002
 4.5600583E+002, 2.0171838E+001, 8.5487132E+001, 1.2787180E+002
 4.5702154E+002, 2.0169580E+001, 9.1677661E+001, 1.2849589E+002
 4.5800741E+002, 2.0174616E+001, 8.6454493E+001, 1.2657291E+002
 4.5900137E+002, 2.0179370E+001, 8.9627319E+001, 1.2784590E+002
 4.6000564E+002, 2.0191208E+001, 9.7636844E+001, 1.2782164E+002
 4.6100067E+002, 2.0195889E+001, 7.8439526E+001, 1.2961319E+002
 4.6202050E+002, 2.0198126E+001, 8.3839870E+001, 1.2850747E+002
 4.6300484E+002, 2.0208922E+001, 9.1618590E+001, 1.2683916E+002
 4.6400260E+002, 2.0207659E+001, 7.9601465E+001, 1.2852916E+002
 4.6500094E+002, 2.0182531E+001, 8.0686541E+001, 1.2767382E+002
 4.6600418E+002, 2.0175371E+001, 6.9342495E+001, 1.2732865E+002
 4.6702318E+002, 2.0182097E+001, 5.8393966E+001, 1.2985488E+002
 4.6801859E+002, 2.0189073E+001, 8.9257798E+001, 1.2779668E+002
 4.6900229E+002, 2.0185495E+001, 9.8808705E+001, 1.2613785E+002
 4.7001550E+002, 2.0186112E+001, 9.5299898E+001, 1.2551473E+002
 4.7100462E+002, 2.0188632E+001, 9.4131067E+001, 1.2947105E+002
 4.7200772E+002, 2.0206699E+001, 9.0912351E+001, 1.2767170E+002
 4.7300921E+002, 2.0192648E+001, 7.9871938E+001, 1.2991259E+002
 4.7400639E+002, 2.0181973E+001, 8.6472679E+001, 1.2765479E+002
 4.7500496E+002, 2.0175263E+001, 8.7947052E+001, 1.2601845E+002
 4.7601535E+002, 2.0172828E+001, 9.6786133E+001, 1.2499333E+002
 4.7700682E+002, 2.0178802E+001, 7.8243840E+001, 1.2863080E+002
 4.7800698E+002, 2.0190868E+001, 9.1564608E+001, 1.2640321E+002
 4.7901965E+002, 2.0185036E+001, 8.8192195E+001, 1.2698905E+002
 4.8001648E+002, 2.0187182E+001, 9.4591279E+001, 1.2694123E+002
 4.8100807E+002, 2.0195415E+001, 8.2845551E+001, 1.2784668E+002
 4.8201169E+002, 2.0187760E+001, 9.3086457E+001, 1.2499043E+002
 4.8300605E+002, 2.0192574E+001, 8.9808530E+001, 1.2400899E+002
 4.8401064E+002, 2.0187164E+001, 7.1022203E+001, 1.2523694E+002
 4.8502030E+002, 2.0188589E+001, 7.4682227E+001, 1.2549465E+002
 4.8601810E+002, 2.0190473E+001, 7.0012737E+001, 1.2623107E+002
 4.8701574E+002, 2.0184516E+001, 9.7400953E+001, 1.2751857E+002
 4.8800480E+002, 2.0176686E+001, 9.5246804E+001, 1.2846372E+002
 4.8901473E+002, 2.0178069E+001, 8.7932243E+001, 1.2694901E+002
 4.9000272E+002, 2.0176699E+001, 9.2917209E+001, 1.2691600E+002
 4.9101036E+002, 2.0181767E+001, 8.2230548E+001, 1.2707017E+002
 4.9200408E+002, 2.0188609E+001, 6.5797916E+001, 1.2777731E+002
 4.9300842E+002, 2.0187861E+001, 7.3977999E+001, 1.2634509E+002
 4.9400337E+002, 2.0182269E+001, 8.7948144E+001, 1.2627270E+002
 4.9501780E+002, 2.0182250E+001, 7.8763298E+001, 1.2766161E+002
 4.9600324E+002, 2.0193668E+001, 7.6637344E+001, 1.2730688E+002
 4.9701867E+002, 2.0196536E+001, 6.4703610E+001, 1.2730643E+002
 4.9802012E+002, 2.0198047E+001, 8.3242381E+001, 1.2872321E+002
 4.9902121E+002, 2.0213559E+001, 9.7480503E+001, 1.2872796E+002
 5.0001929E+002, 2.0203180E+001, 9.4931254E+001, 1.2922690E+002
 5.0100852E+002, 2.0187756E+001, 8.4108066E+001, 1.2834071E+002
 5.0201336E+002, 2.0197283E+001, 8.9518569E+001, 1.2833591E+002
 5.0302136E+002, 2.0190599E+001, 7.5106017E+001, 1.2710263E+002
 5.0401078E+002, 2.0178430E+001, 6.8547823E+001, 1.2842766E+002
 5.0500400E+002, 2.0173776E+001, 8.2747813E+001, 1.2960456E+002
 5.0601659E+002, 2.0175313E+001, 9.4802071E+001, 1.2759353E+002
 5.0700754E+002, 2.0175563E+001, 6.4872612E+001, 1.2735341E+002
 5.0802176E+002, 2.0178853E+001, 8.2128575E+001, 1.2655506E+002
 5.0900790E+002, 2.0181247E+001, 1.0535581E+002, 1.2930041E+002
 5.1002041E+002, 2.0189593E+001, 8.3232462E+001, 1.3036684E+002
 5.1102076E+002, 2.0201562E+001, 8.6723961E+001, 1.2895811E+002
 5.1200203E+002, 2.0214980E+001, 9.3091642E+001, 1.2893267E+002
 5.1301241E+002, 2.0208976E+001, 1.0280978E+002, 1.2892227E+002
 5.1402178E+002, 2.0198947E+001, 7.7334923E+001, 1.3027868E+002
 5.1500247E+002, 2.0207293E+001, 8.5644142E+001, 1.2855583E+002
 5.1601058E+002, 2.0204835E+001, 1.0427204E+002, 1.2708140E+002
 5.1701489E+002, 2.0195425E+001, 7.2124353E+001, 1.2693318E+002
 5.1801264E+002, 2.0214949E+001, 8.9215785E+001, 1.2755765E+002
 5.1901648E+002, 2.0207325E+001, 7.9755751E+001, 1.2848904E+002
 5.2001854E+002, 2.0195871E+001, 8.4738425E+001, 1.2935628E+002
 5.2102041E+002, 2.0201613E+001, 1.0688245E+002, 1.2744728E+002
 5.2201574E+002, 2.0221789E+001, 1.0306325E+002, 1.2720879E+002
 5.2300551E+002, 2.0209577E+001, 9.2401495E+001, 1.2966970E+002
 5.2400552E+002, 2.0206604E+001, 7.0778572E+001, 1.3067995E+002
 5.2501428E+002, 2.0199479E+001, 8.2499339E+001, 1.2701575E+002
 5.2600353E+002, 2.0203967E+001, 9.6239505E+001, 1.2584795E+002
 5.2700487E+002, 2.0195866E+001, 9.9378600E+001, 1.2642460E+002
 5.2802030E+002, 2.0182324E+001, 9.1789536E+001, 1.2908306E+002
 5.2900939E+002, 2.0189227E+001, 4.7775693E+001, 1.3138921E+002
 5.3001285E+002, 2.0185623E+001, 8.4657730E+001, 1.3021995E+002
 5.3101737E+002, 2.0186956E+001, 9.0103236E+001, 1.2862568E+002
 5.3201345E+002, 2.0181931E+001, 9.5109069E+001, 1.2783359E+002
 5.3300197E+002, 2.0187148E+001, 8.3559412E+001, 1.2954400E+002
 5.3400586E+002, 2.0186727E+001, 7.9091271E+001, 1.3008979E+002
 5.3500976E+002, 2.0185801E+001, 6.8703853E+001, 1.2739289E+002
 5.3601195E+002, 2.0190708E+001, 9.4691196E+001, 1.2682847E+002
 5.3700987E+002, 2.0204649E+001, 9.9848690E+001, 1.2710566E+002
 5.3801286E+002, 2.0207143E+001, 9.2616142E+001, 1.2790474E+002
 5.3900269E+002, 2.0200333E+001, 9.1061602E+001, 1.2870148E+002
 5.4001786E+002, 2.0201265E+001, 8.9920200E+001, 1.2739121E+002
 5.4101096E+002, 2.0203309E+001, 7.9416716E+001, 1.3159794E+002
 5.4200407E+002, 2.0199253E+001, 9.0386181E+001, 1.2863855E+002
 5.4301408E+002, 2.0212480E+001, 7.4574757E+001, 1.3216350E+002
 5.4401316E+002, 2.0213384E+001, 7.2676935E+001, 1.2969674E+002
 5.4500616E+002, 2.0205289E+001, 9.7409079E+001, 1.2816619E+002
 5.4601305E+002, 2.0201748E+001, 1.0933557E+002, 1.2937751E+002
 5.4701624E+002, 2.0197238E+001, 1.0346466E+002, 1.3103227E+002
 5.4801934E+002, 2.0199133E+001, 1.0368139E+002, 1.3124515E+002
 5.4900637E+002, 2.0210158E+001, 8.4519149E+001, 1.2961448E+002
 5.5001665E+002, 2.0209980E+001, 9.3178667E+001, 1.3160590E+002
 5.5101486E+002, 2.0200311E+001, 7.9356537E+001, 1.2979113E+002
 5.5200696E+002, 2.0207070E+001, 5.1913286E+001, 1.2978911E+002
 5.5300869E+002, 2.0212900E+001, 9.8731597E+001, 1.3092495E+002
 5.5401041E+002, 2.0219916E+001, 9.2899149E+001, 1.2780104E+002
 5.5501750E+002, 2.0223673E+001, 8.5703201E+001, 1.2766958E+002
 5.5601073E+002, 2.0228951E+001, 1.0065717E+002, 1.2857124E+002
 5.5701690E+002, 2.0202376E+001, 9.2047921E+001, 1.2988262E+002
 5.5801611E+002, 2.0201742E+001, 8.3695748E+001, 1.3072778E+002
 5.5902157E+002, 2.0223816E+001, 9.1513890E+001, 1.2934537E+002
 5.6000162E+002, 2.0222372E+001, 9.5129883E+001, 1.3023867E+002
 5.6100717E+002, 2.0219716E+001, 1.0597263E+002, 1.3088868E+002
 5.6201261E+002, 2.0219266E+001, 9.6655522E+001, 1.2878029E+002
 5.6302037E+002, 2.0213926E+001, 9.0023467E+001, 1.2769076E+002
 5.6402012E+002, 2.0210271E+001, 8.8712232E+001, 1.2914429E+002
 5.6500345E+002, 2.0214956E+001, 7.7293088E+001, 1.2833599E+002
 5.6601362E+002, 2.0210738E+001, 9.3060442E+001, 1.2754042E+002
 5.6701295E+002, 2.0212112E+001, 9.7649934E+001, 1.2774441E+002
 5.6801103E+002, 2.0213244E+001, 1.0623246E+002, 1.2617961E+002
 5.6900640E+002, 2.0204441E+001, 1.0160726E+002, 1.2806686E+002
 5.7001694E+002, 2.0204630E+001, 7.5506168E+001, 1.2788276E+002
 5.7102016E+002, 2.0216217E+001, 9.2608929E+001, 1.2693879E+002
 5.7201511E+002, 2.0214892E+001, 9.9373624E+001, 1.2615220E+002
 5.7301943E+002, 2.0211553E+001, 7.5335424E+001, 1.2801822E+002
 5.7402020E+002, 2.0216253E+001, 8.8995439E+001, 1.2973228E+002
 5.7501080E+002, 2.0215845E+001, 8.8943320E+001, 1.2942121E+002
 5.7601127E+002, 2.0214018E+001, 1.0730586E+002, 1.2866886E+002
 5.7701050E+002, 2.0218660E+001, 5.5619846E+001, 1.2748505E+002
 5.7800388E+002, 2.0215357E+001, 9.3724207E+001, 1.2776163E+002
 5.7901415E+002, 2.0223027E+001, 9.1845689E+001, 1.3066066E+002
 5.8001463E+002, 2.0216528E+001, 1.0163807E+002, 1.2970870E+002
 5.8100228E+002, 2.0210476E+001, 8.5934912E+001, 1.2972492E+002
 5.8201471E+002, 2.0211943E+001, 7.2815083E+001, 1.3088596E+002
 5.8301171E+002, 2.0201838E+001, 9.0595229E+001, 1.3159925E+002
 5.8401988E+002, 2.0184884E+001, 9.7576920E+001, 1.2950045E+002
 5.8500505E+002, 2.0201423E+001, 8.6682303E+001, 1.3107984E+002
 5.8601988E+002, 2.0194034E+001, 7.8867249E+001, 1.2770422E+002
 5.8701124E+002, 2.0189240E+001, 8.1339522E+001, 1.2768718E+002
 5.8801715E+002, 2.0192164E+001, 9.0826942E+001, 1.2854935E+002
 5.8901542E+002, 2.0184123E+001, 9.6184780E+001, 1.2887849E+002
 5.9000914E+002, 2.0181021E+001, 7.8540846E+001, 1.2856948E+002
 5.9101725E+002, 2.0181327E+001, 7.5829281E+001, 1.2992530E+002
 5.9202165E+002, 2.0181828E+001, 8.2084684E+001, 1.2884315E+002
 5.9301780E+002, 2.0193787E+001, 6.9804078E+001, 1.2963211E+002
 5.9400886E+002, 2.0210926E+001, 7.4535420E+001, 1.3026134E+002
 5.9501064E+002, 2.0220537E+001, 8.4374599E+001, 1.3034481E+002
 5.9602232E+002, 2.0210957E+001, 9.4167076E+001, 1.3308213E+002
 5.9701759E+002, 2.0210168E+001, 8.7011958E+001, 1.2879695E+002
 5.9801620E+002, 2.0200921E+001, 7.4301393E+001, 1.2913465E+002
 5.9901901E+002, 2.0201802E+001, 9.5360456E+001, 1.2875517E+002
 6.0001359E+002, 2.0198150E+001, 9.6205586E+001, 1.2844153E+002
 6.0100518E+002, 2.0207292E+001, 7.9357645E+001, 1.2934094E+002
 6.0200846E+002, 2.0207416E+001, 8.2643584E+001, 1.3032772E+002
 6.0301117E+002, 2.0202475E+001, 8.6494880E+001, 1.3051314E+002
 6.0400691E+002, 2.0199879E+001, 8.6231974E+001, 1.3098214E+002
 6.0501250E+002, 2.0195885E+001, 7.4683386E+001, 1.2988978E+002
 6.0601978E+002, 2.0189800E+001, 8.7207013E+001, 1.2990275E+002
 6.0700640E+002, 2.0197097E+001, 9.9612711E+001, 1.2864334E+002
 6.0800160E+002, 2.0202506E+001, 8.9527321E+001, 1.2916032E+002
 6.0900222E+002, 2.0201242E+001, 1.0218223E+002, 1.2789749E+002
 6.1002224E+002, 2.0201030E+001, 9.5100884E+001, 1.2634915E+002
 6.1101359E+002, 2.0201676E+001, 9.1797906E+001, 1.2692562E+002
 6.1200546E+002, 2.0202853E+001, 9.7164033E+001, 1.2836565E+002
 6.1301102E+002, 2.0203248E+001, 8.3899841E+001, 1.2890813E+002
 6.1400559E+002, 2.0207185E+001, 9.5234791E+001, 1.2801802E+002
 6.1500746E+002, 2.0207553E+001, 9.0096710E+001, 1.2890702E+002
 6.1601675E+002, 2.0217950E+001, 6.4450380E+001, 1.3351110E+002
 6.1701707E+002, 2.0209954E+001, 9.5667598E+001, 1.3066012E+002
 6.1800859E+002, 2.0206104E+001, 7.7995241E+001, 1.2923541E+002
 6.1900245E+002, 2.0207569E+001, 1.0079067E+002, 1.2795576E+002
 6.2002066E+002, 2.0212475E+001, 1.0145464E+002, 1.2732425E+002
 6.2100214E+002, 2.0203738E+001, 9.1955591E+001, 1.2838183E+002
 6.2201312E+002, 2.0186836E+001, 6.2843886E+001, 1.2878134E+002
 6.2300919E+002, 2.0178909E+001, 4.9441362E+001, 1.2791996E+002
 6.2400976E+002, 2.0185975E+001, 7.6240574E+001, 1.2888167E+002
 6.2501672E+002, 2.0196898E+001, 9.0151622E+001, 1.2948377E+002
 6.2600921E+002, 2.0197169E+001, 6.7072729E+001, 1.3004065E+002
 6.2700296E+002, 2.0201612E+001, 8.4720803E+001, 1.3171787E+002
 6.2801008E+002, 2.0197178E+001, 9.1749491E+001, 1.2889522E+002
 6.2900065E+002, 2.0210210E+001, 1.0524694E+002, 1.2885873E+002
 6.3000223E+002, 2.0212436E+001, 8.3740902E+001, 1.2938008E+002
 6.3100381E+002, 2.0200402E+001, 7.9904631E+001, 1.3008199E+002
 6.3200008E+002, 2.0192284E+001, 7.6321938E+001, 1.3071992E+002
 6.3301626E+002, 2.0184772E+001, 7.4812861E+001, 1.2852966E+002
 6.3401717E+002, 2.0184035E+001, 9.5657009E+001, 1.2829523E+002
 6.3500312E+002, 2.0183889E+001, 8.9306116E+001, 1.2969347E+002
 6.3601008E+002, 2.0188449E+001, 1.0408316E+002, 1.2965286E+002
 6.3700591E+002, 2.0181681E+001, 9.2002841E+001, 1.2860258E+002
 6.3802129E+002, 2.0193067E+001, 7.1279538E+001, 1.2785073E+002
 6.3900233E+002, 2.0203128E+001, 7.0903895E+001, 1.2858084E+002
 6.4000649E+002, 2.0204616E+001, 8.9765740E+001, 1.2748302E+002
 6.4100626E+002, 2.0207369E+001, 8.3568641E+001, 1.3228123E+002
 6.4202142E+002, 2.0224411E+001, 6.9533529E+001, 1.2816141E+002
 6.4300762E+002, 2.0220917E+001, 9.5478681E+001, 1.3083839E+002
 6.4401501E+002, 2.0222790E+001, 8.8180526E+001, 1.3015594E+002
 6.4500946E+002, 2.0210758E+001, 9.8979488E+001, 1.3269326E+002
 6.4601922E+002, 2.0200607E+001, 9.8380280E+001, 1.3165660E+002
 6.4700794E+002, 2.0208358E+001, 1.0159588E+002, 1.3302268E+002
 6.4801769E+002, 2.0211628E+001, 9.7217992E+001, 1.3105635E+002
 6.4901150E+002, 2.0223477E+001, 1.0252453E+002, 1.3062797E+002
 6.5001758E+002, 2.0224841E+001, 1.0179609E+002, 1.3317257E+002
 6.5100458E+002, 2.0215500E+001, 9.9880628E+001, 1.3369076E+002
 6.5200666E+002, 2.0213921E+001, 1.0378947E+002, 1.3507834E+002
 6.5301563E+002, 2.0221667E+001, 7.8087750E+001, 1.3289119E+002
 6.5402158E+002, 2.0228709E+001, 8.6571484E+001, 1.2958444E+002
 6.5501455E+002, 2.0237798E+001, 9.2184264E+001, 1.2811129E+002
 6.5602320E+002, 2.0231138E+001, 7.2983452E+001, 1.2938356E+002
 6.5700383E+002, 2.0219060E+001, 9.3093449E+001, 1.3141999E+002
 6.5801661E+002, 2.0215263E+001, 9.0812884E+001, 1.3005091E+002
 6.5901994E+002, 2.0208063E+001, 9.6990968E+001, 1.3018450E+002
 6.6000073E+002, 2.0216902E+001, 1.0121604E+002, 1.3021031E+002
 6.6101417E+002, 2.0219939E+001, 8.5969225E+001, 1.2879660E+002
 6.6202094E+002, 2.0228514E+001, 6.8204469E+001, 1.2930817E+002
 6.6300538E+002, 2.0231853E+001, 9.0797849E+001, 1.2887489E+002
 6.6401937E+002, 2.0225768E+001, 1.0437692E+002, 1.2812124E+002
 6.6500963E+002, 2.0227134E+001, 8.0936666E+001, 1.3050410E+002
 6.6600440E+002, 2.0239405E+001, 8.4998032E+001, 1.3004447E+002
 6.6701804E+002, 2.0240249E+001, 7.5792596E+001, 1.3321882E+002
 6.6801985E+002, 2.0238941E+001, 6.2699353E+001, 1.2997586E+002
 6.6901606E+002, 2.0227652E+001, 8.5440399E+001, 1.3131091E+002
 6.7000188E+002, 2.0216959E+001, 7.9146869E+001, 1.2855794E+002
 6.7100855E+002, 2.0216035E+001, 8.0065065E+001, 1.2886549E+002
 6.7202022E+002, 2.0225475E+001, 8.1079134E+001, 1.2986247E+002
 6.7301310E+002, 2.0226019E+001, 8.1255517E+001, 1.2885193E+002
 6.7400320E+002, 2.0225018E+001, 9.8762116E+001, 1.3129834E+002
 6.7500103E+002, 2.0220477E+001, 9.6688664E+001, 1.3249709E+002
 6.7600522E+002, 2.0225391E+001, 7.3718413E+001, 1.3167922E+002
 6.7700942E+002, 2.0223493E+001, 5.3723392E+001, 1.3107901E+002
 6.7801106E+002, 2.0229205E+001, 6.9448522E+001, 1.3272707E+002
 6.7900501E+002, 2.0221982E+001, 1.0036399E+002, 1.3075300E+002
 6.8001415E+002, 2.0220875E+001, 7.8498365E+001, 1.3256285E+002
 6.8102395E+002, 2.0234779E+001, 6.2886755E+001, 1.3084078E+002
 6.8201104E+002, 2.0227297E+001, 9.7778495E+001, 1.3051224E+002
 6.8300473E+002, 2.0231404E+001, 9.8344233E+001, 1.2997393E+002
 6.8401197E+002, 2.0222406E+001, 8.2181223E+001, 1.2924949E+002
 6.8501036E+002, 2.0212895E+001, 9.2272730E+001, 1.2983477E+002
 6.8601036E+002, 2.0203027E+001, 6.7624122E+001, 1.3079271E+002
 6.8701036E+002, 2.0206218E+001, 1.0372045E+002, 1.3187991E+002
 6.8800807E+002, 2.0198813E+001, 8.6703153E+001, 1.3060575E+002
 6.8900564E+002, 2.0210154E+001, 6.3841855E+001, 1.2892932E+002
 6.9001070E+002, 2.0213408E+001, 9.8030154E+001, 1.3161823E+002
 6.9101576E+002, 2.0204890E+001, 9.0876719E+001, 1.2939439E+002
 6.9201077E+002, 2.0213389E+001, 1.0472140E+002, 1.2952513E+002
 6.9301219E+002, 2.0218113E+001, 1.0449453E+002, 1.2955422E+002
 6.9400128E+002, 2.0215566E+001, 1.0321234E+002, 1.2997923E+002
 6.9500578E+002, 2.0218647E+001, 1.0226599E+002, 1.3134730E+002
 6.9601932E+002, 2.0218958E+001, 8.4320640E+001, 1.2937270E+002
